rank_method,percentile,mean_odds_ratio,mean_relative_risk
PGS000004_rank,10%,1.751167253003205,1.6773866444777068
PGS000004_rank,20%,1.678578209667258,1.6193638865908102
PGS000004_rank,5%,1.8209133137474693,1.7292107963842924
PGS000005_rank,10%,1.7821865169236133,1.7042211057479317
PGS000005_rank,20%,1.6522549094253445,1.5958237759781009
PGS000005_rank,5%,1.8357469863048643,1.742755888828668
PGS000006_rank,10%,1.5495820909104379,1.4990890582840584
PGS000006_rank,20%,1.4771272457239486,1.4382546511467043
PGS000006_rank,5%,1.73452493130582,1.6553403461951546
PGS000007_rank,10%,1.9094351811373425,1.8144754427688072
PGS000007_rank,20%,1.8189085413651778,1.7437502575239598
PGS000007_rank,5%,1.9806977894995426,1.8658968140879446
PGS000008_rank,10%,1.9616648436635824,1.8595902082667497
PGS000008_rank,20%,1.819131387406435,1.7439416302469728
PGS000008_rank,5%,2.0337636306149967,1.9101957662765416
PGS000009_rank,10%,1.597019837656732,1.5414231778719532
PGS000009_rank,20%,1.6095968752862424,1.5577096304715008
PGS000009_rank,5%,1.6487272692214407,1.5802384397943694
PGS000015_rank,10%,1.355847542597178,1.3251002460580992
PGS000015_rank,20%,1.3387422383503196,1.3124012780594527
PGS000015_rank,5%,1.2514455627898773,1.226162252933157
PGS000045_rank,10%,1.1543554713047257,1.140836387171022
PGS000045_rank,20%,1.245315985474436,1.226698602774178
PGS000045_rank,5%,1.0711689005986378,1.060177924018123
PGS000046_rank,10%,1.2109180991879434,1.1927142589306994
PGS000046_rank,20%,1.3071612805844381,1.2835356696725284
PGS000046_rank,5%,1.1724432646537772,1.153639237648469
PGS000047_rank,10%,1.204320378179725,1.186875303005789
PGS000047_rank,20%,1.2161174197708469,1.1996168019645201
PGS000047_rank,5%,1.1975414083608678,1.1774353414283452
PGS000050_rank,10%,1.5602279575715183,1.5083699990196908
PGS000050_rank,20%,1.5069926003948637,1.4651605874782048
PGS000050_rank,5%,1.637943476048992,1.57099648298466
PGS000052_rank,10%,1.564468826472366,1.5120598692581126
PGS000052_rank,20%,1.5720977201117914,1.5237735831482355
PGS000052_rank,5%,1.7919939612966749,1.7043894321757453
PGS000212_rank,10%,1.892792259842085,1.800247614286625
PGS000212_rank,20%,1.759567403780303,1.6913494533026037
PGS000212_rank,5%,2.0406092820467463,1.9169266482154512
PGS000213_rank,10%,1.7429516275299768,1.6698825549732057
PGS000213_rank,20%,1.6342085978756775,1.5797404269344055
PGS000213_rank,5%,1.7964935744970119,1.7074663930332292
PGS000214_rank,10%,1.84487061079426,1.7586943871921472
PGS000214_rank,20%,1.7083894003865434,1.6459044576359458
PGS000214_rank,5%,1.9634117517386487,1.850859210023901
PGS000215_rank,10%,1.4793527839119849,1.436478059174794
PGS000215_rank,20%,1.4655393256496063,1.4275614290491423
PGS000215_rank,5%,1.4436270053325946,1.3996980379411317
PGS000216_rank,10%,1.4430349236784619,1.4036402934706809
PGS000216_rank,20%,1.346085525729689,1.3189573942393547
PGS000216_rank,5%,1.5206004686356107,1.4674102408260905
PGS000332_rank,10%,0.8902889400841979,0.893249634495909
PGS000332_rank,20%,0.9298645407620787,0.9323637445736017
PGS000332_rank,5%,0.9970520249286627,0.9912698288965145
PGS000335_rank,10%,1.0833427796067314,1.0750560418312438
PGS000335_rank,20%,1.0726994220694472,1.0667008122472965
PGS000335_rank,5%,1.092114677141603,1.0793248782635252
PGS000344_rank,10%,1.791305636919904,1.7116985423623103
PGS000344_rank,20%,1.670534995857121,1.612019719931541
PGS000344_rank,5%,1.936756441626253,1.8283983695900017
PGS000345_rank,10%,1.7884518204052993,1.7093944910822263
PGS000345_rank,20%,1.6832802582852895,1.6232051003963341
PGS000345_rank,5%,1.8728107491687052,1.7737169571856084
PGS000346_rank,10%,1.595209045949081,1.5397547362758262
PGS000346_rank,20%,1.5466981753962468,1.5011091076122867
PGS000346_rank,5%,1.6685598381783822,1.597850414251741
PGS000347_rank,10%,1.8080695747178344,1.7266378320458653
PGS000347_rank,20%,1.6355408577107482,1.5807443073781784
PGS000347_rank,5%,1.9583514307512928,1.8472359760364079
PGS000472_rank,10%,1.4310744361799956,1.3927256019530914
PGS000472_rank,20%,1.3288915394162195,1.303254742911221
PGS000472_rank,5%,1.6110795540192544,1.5470693471111312
PGS000473_rank,10%,1.3214308912596147,1.293546903425606
PGS000473_rank,20%,1.265661517612633,1.2453405941846962
PGS000473_rank,5%,1.2438295685629412,1.2179764735091023
PGS000474_rank,10%,1.3901901914301746,1.3559004752852306
PGS000474_rank,20%,1.3271760213066983,1.3018362399478258
PGS000474_rank,5%,1.391782857855453,1.3531773480421994
PGS000475_rank,10%,1.371812808117955,1.3392804080294134
PGS000475_rank,20%,1.3231876637955562,1.2981396854309277
PGS000475_rank,5%,1.516207960842393,1.4635287265478971
PGS000476_rank,10%,1.4741120020533194,1.4314000599217958
PGS000476_rank,20%,1.4253581432107136,1.391462949028006
PGS000476_rank,5%,1.5292391365715277,1.4752353849639466
PGS000477_rank,10%,1.4466548525952583,1.4068605442977138
PGS000477_rank,20%,1.3539828094681303,1.3262118757232642
PGS000477_rank,5%,1.5638970780538415,1.5059628451043143
PGS000478_rank,10%,1.3246431905190361,1.2964183774831717
PGS000478_rank,20%,1.3021327600581154,1.2789318781200314
PGS000478_rank,5%,1.423366219241893,1.380756379499506
PGS000479_rank,10%,1.5484424612266046,1.4977774608718843
PGS000479_rank,20%,1.4842231171972997,1.44437001735047
PGS000479_rank,5%,1.7498534663241652,1.667818666090149
PGS000480_rank,10%,1.3044141778899532,1.2779304247411827
PGS000480_rank,20%,1.322236973220258,1.2971358649615794
PGS000480_rank,5%,1.4189218299024062,1.3766675776615238
PGS000481_rank,10%,1.321617349257318,1.2938068740853161
PGS000481_rank,20%,1.4093263389897874,1.3765792755845871
PGS000481_rank,5%,1.4160590313619186,1.374682311828961
PGS000482_rank,10%,1.3811927390609118,1.3473798067220604
PGS000482_rank,20%,1.3089851606214644,1.2850394995579169
PGS000482_rank,5%,1.3604099224115376,1.3237990506307162
PGS000483_rank,10%,1.2484158382882902,1.2267890286181418
PGS000483_rank,20%,1.2644854811264297,1.244154890400542
PGS000483_rank,5%,1.2931976344748297,1.264257594234292
PGS000484_rank,10%,1.2430538131815516,1.2224222338907513
PGS000484_rank,20%,1.189588225621215,1.1752447578303908
PGS000484_rank,5%,1.198085312227225,1.17641903547788
PGS000485_rank,10%,1.191912184329756,1.1753990121020046
PGS000485_rank,20%,1.210203132899971,1.1942979207954945
PGS000485_rank,5%,1.2016452976486875,1.1803071561797294
PGS000486_rank,10%,1.2872537968254043,1.2627974544819223
PGS000486_rank,20%,1.3313560051784517,1.3058050449138847
PGS000486_rank,5%,1.3585108985910295,1.3229464102242021
PGS000487_rank,10%,1.191912184329756,1.1753990121020046
PGS000487_rank,20%,1.210203132899971,1.1942979207954945
PGS000487_rank,5%,1.2016452976486875,1.1803071561797294
PGS000488_rank,10%,1.3466624143583883,1.316895956634813
PGS000488_rank,20%,1.384922744722615,1.354582306332018
PGS000488_rank,5%,1.3678669764197997,1.332194897591196
PGS000489_rank,10%,1.2254211461271256,1.206304066508659
PGS000489_rank,20%,1.2243213746656627,1.2073059230215812
PGS000489_rank,5%,1.3760982298348263,1.3394074608193403
PGS000490_rank,10%,1.2254211461271256,1.206304066508659
PGS000490_rank,20%,1.2243213746656627,1.2073059230215812
PGS000490_rank,5%,1.3760982298348263,1.3394074608193403
PGS000491_rank,10%,0.6626943669502855,0.6742266218081882
PGS000491_rank,20%,0.6531597760295001,0.6664910345856685
PGS000491_rank,5%,0.6862465042076441,0.6946862531828157
PGS000492_rank,10%,0.6711706113755198,0.6825777899022941
PGS000492_rank,20%,0.6461811148346648,0.6596972589025082
PGS000492_rank,5%,0.7115433399411835,0.7193768899237155
PGS000493_rank,10%,1.2175499614963088,1.198878636505881
PGS000493_rank,20%,1.2455562323076754,1.2268565832155711
PGS000493_rank,5%,1.2824211961736007,1.2538476368342675
PGS000494_rank,10%,1.2254211461271256,1.206304066508659
PGS000494_rank,20%,1.2243213746656627,1.2073059230215812
PGS000494_rank,5%,1.3760982298348263,1.3394074608193403
PGS000495_rank,10%,0.9361422718012398,0.9366845008740408
PGS000495_rank,20%,1.0500157382559476,1.0453653439529027
PGS000495_rank,5%,0.9586086804125994,0.9552508092555867
PGS000496_rank,10%,1.0295820655537211,1.0245741535754413
PGS000496_rank,20%,1.0849987483545585,1.0780399886952732
PGS000496_rank,5%,0.9440056527755227,0.9416648022803216
PGS000497_rank,10%,1.6943048053559975,1.6266145957282894
PGS000497_rank,20%,1.5798076255838325,1.530746658409224
PGS000497_rank,5%,1.9443133003255735,1.8343203028113226
PGS000498_rank,10%,1.6943048053559975,1.6266145957282894
PGS000498_rank,20%,1.5798076255838325,1.530746658409224
PGS000498_rank,5%,1.9443133003255735,1.8343203028113226
PGS000499_rank,10%,1.04888797202032,1.042862419838628
PGS000499_rank,20%,1.1257076502860877,1.1160768672262231
PGS000499_rank,5%,1.0890430619423406,1.077038211769109
PGS000500_rank,10%,1.071012995111983,1.0637762321438402
PGS000500_rank,20%,1.1427541834284822,1.1318629116226346
PGS000500_rank,5%,1.0916724889595522,1.0792388571230924
PGS000501_rank,10%,1.466481196781911,1.4245050660792782
PGS000501_rank,20%,1.4530832989213562,1.4165703964531398
PGS000501_rank,5%,1.5709999924621008,1.5115159662511235
PGS000502_rank,10%,1.6159777374675337,1.5574481431767428
PGS000502_rank,20%,1.5322738169464944,1.4879847727630275
PGS000502_rank,5%,1.817744842623155,1.727008425797103
PGS000503_rank,10%,1.1996441783919292,1.182412561768754
PGS000503_rank,20%,1.3431648951987074,1.316424627568652
PGS000503_rank,5%,1.2782625621508403,1.2503928660083339
PGS000504_rank,10%,1.3944801459579124,1.3602939100648097
PGS000504_rank,20%,1.4054309890745302,1.3733202751900773
PGS000504_rank,5%,1.4139474087396362,1.372451696433136
PGS000505_rank,10%,1.4971442889207056,1.4521935459339521
PGS000505_rank,20%,1.4453837908022138,1.4093475002255624
PGS000505_rank,5%,1.4724880702184084,1.4246994327049205
PGS000506_rank,10%,1.4971442889207056,1.4521935459339521
PGS000506_rank,20%,1.4453837908022138,1.4093475002255624
PGS000506_rank,5%,1.4724880702184084,1.4246994327049205
PGS000507_rank,10%,0.9664484506998806,0.965511984727237
PGS000507_rank,20%,1.0572880864457221,1.0522620972517132
PGS000507_rank,5%,0.9852949566758757,0.9804837019969611
PGS000508_rank,10%,0.8913967692116189,0.8943309311866849
PGS000508_rank,20%,1.0147077283293675,1.0123003756982922
PGS000508_rank,5%,0.9677433739752412,0.963904271725417
PGS000509_rank,10%,1.2611433119213404,1.238739452516742
PGS000509_rank,20%,1.3482490294311957,1.3211260656209431
PGS000509_rank,5%,1.180499007497006,1.1608282383081245
PGS000510_rank,10%,1.4103801703834962,1.3743485178481476
PGS000510_rank,20%,1.4204938901281428,1.386662383596465
PGS000510_rank,5%,1.4349713031869342,1.3921303007467345
PGS000511_rank,10%,1.0643468345205709,1.0570706531218923
PGS000511_rank,20%,1.1893541784839181,1.1750832801377378
PGS000511_rank,5%,1.166079058811353,1.1484669470764024
PGS000513_rank,10%,1.3670557612290402,1.3350661503872832
PGS000513_rank,20%,1.2855466957136696,1.2636250228131451
PGS000513_rank,5%,1.3768670661435891,1.338892999708174
PGS000514_rank,10%,1.2829386154553966,1.2582060285617742
PGS000514_rank,20%,1.331287733340959,1.3054232314829195
PGS000514_rank,5%,1.2405694689328892,1.2158608868159833
PGS000515_rank,10%,1.3229258671694606,1.2946265955366718
PGS000515_rank,20%,1.3431542258159066,1.3163506288648401
PGS000515_rank,5%,1.4503073303184904,1.4039396211447304
PGS000516_rank,10%,1.408683474937808,1.3726792655125222
PGS000516_rank,20%,1.3707189350743747,1.3415630637748244
PGS000516_rank,5%,1.5194625211848751,1.466562313687177
PGS000517_rank,10%,1.2169338535169276,1.1984857483100986
PGS000517_rank,20%,1.1506392945964272,1.1390748238578465
PGS000517_rank,5%,1.2680314271594095,1.241772269815921
PGS000518_rank,10%,1.2169338535169276,1.1984857483100986
PGS000518_rank,20%,1.1506392945964272,1.1390748238578465
PGS000518_rank,5%,1.2680314271594095,1.241772269815921
PGS000519_rank,10%,1.1472994969074708,1.1341116576890267
PGS000519_rank,20%,1.10092375308591,1.0929499501037407
PGS000519_rank,5%,1.1406506122655165,1.1239969677381896
PGS000520_rank,10%,1.2144072112037494,1.1957791494768406
PGS000520_rank,20%,1.1677472024052398,1.1550504728929445
PGS000520_rank,5%,1.157770953712353,1.140469508389413
PGS000521_rank,10%,1.2525800140676833,1.2312935929704847
PGS000521_rank,20%,1.2305287459867336,1.2131153894931936
PGS000521_rank,5%,1.2368629743122306,1.2137895499427829
PGS000522_rank,10%,1.1972315393888955,1.1803518020979502
PGS000522_rank,20%,1.1886824470885489,1.1742786408684345
PGS000522_rank,5%,1.1599971790142571,1.142545871711777
PGS000523_rank,10%,1.2506938090522473,1.2292931923566508
PGS000523_rank,20%,1.2260843057773703,1.2090335475905802
PGS000523_rank,5%,1.2750457896160552,1.2471541708965488
PGS000524_rank,10%,1.2802057811131844,1.2561694641600465
PGS000524_rank,20%,1.1895512088239506,1.175174914315188
PGS000524_rank,5%,1.3182829744976123,1.2867449635924313
PGS000525_rank,10%,1.644615430926585,1.5835227572498254
PGS000525_rank,20%,1.62462050552037,1.5711461682517212
PGS000525_rank,5%,1.7999244822208902,1.711486814454871
PGS000526_rank,10%,1.644615430926585,1.5835227572498254
PGS000526_rank,20%,1.62462050552037,1.5711461682517212
PGS000526_rank,5%,1.7999244822208902,1.711486814454871
PGS000527_rank,10%,2.0114520733383396,1.9028848745111218
PGS000527_rank,20%,1.795449743346956,1.7232501746086442
PGS000527_rank,5%,2.1386695011851375,1.999813208733113
PGS000528_rank,10%,1.9597235670349202,1.8584242272175255
PGS000528_rank,20%,1.7221078184013188,1.658048259293525
PGS000528_rank,5%,2.1901120685707562,2.0423892113873374
PGS000529_rank,10%,1.7622134947852488,1.6871684129661169
PGS000529_rank,20%,1.6829925150269756,1.6233773364486892
PGS000529_rank,5%,1.8861366765044059,1.7856162593622071
PGS000530_rank,10%,1.7853442876616017,1.7071928089572495
PGS000530_rank,20%,1.6661738180056993,1.6082791505555407
PGS000530_rank,5%,1.9579631725457844,1.8474305133710212
PGS000531_rank,10%,1.8187204841017102,1.7358116847782132
PGS000531_rank,20%,1.644522055421972,1.5888488821411393
PGS000531_rank,5%,1.9435656093650229,1.835220337149948
PGS000532_rank,10%,1.8521858431969898,1.7649633424207474
PGS000532_rank,20%,1.7270101612228248,1.6623390642033808
PGS000532_rank,5%,2.004917978043407,1.8866047846915681
