rank_method,group_percentile,mean_standardized_difference
PGS000758_rank,Top 10%,16.707453534069753
PGS000758_rank,Top 20%,20.008369285852048
PGS000758_rank,Top 5%,13.057968910593988
PGS001229_rank,Top 10%,15.637911971929446
PGS001229_rank,Top 20%,18.58628189565481
PGS001229_rank,Top 5%,12.503980845287456
PGS001405_rank,Top 10%,7.89966356929247
PGS001405_rank,Top 20%,9.416916532216183
PGS001405_rank,Top 5%,6.001588428244757
PGS001929_rank,Top 10%,16.956528386671955
PGS001929_rank,Top 20%,20.29630322226874
PGS001929_rank,Top 5%,13.496805290249451
PGS002146_rank,Top 10%,16.434525444454884
PGS002146_rank,Top 20%,19.5481473525183
PGS002146_rank,Top 5%,13.508520720598577
PGS002332_rank,Top 10%,16.486177652591685
PGS002332_rank,Top 20%,19.927631682513926
PGS002332_rank,Top 5%,13.48337566038073
PGS002368_rank,Top 10%,5.504904195130191
PGS002368_rank,Top 20%,6.857263008420506
PGS002368_rank,Top 5%,4.417706285337579
PGS002404_rank,Top 10%,11.469080266122544
PGS002404_rank,Top 20%,15.471392480879727
PGS002404_rank,Top 5%,8.207061399949547
PGS002453_rank,Top 10%,9.914079811070431
PGS002453_rank,Top 20%,14.432200740161855
PGS002453_rank,Top 5%,5.041983863870231
PGS002551_rank,Top 10%,12.758107019015476
PGS002551_rank,Top 20%,14.8495079385279
PGS002551_rank,Top 5%,10.45796033034729
PGS002600_rank,Top 10%,12.172625779849579
PGS002600_rank,Top 20%,14.509914341903066
PGS002600_rank,Top 5%,9.993064783415624
PGS002698_rank,Top 10%,14.745796004686456
PGS002698_rank,Top 20%,18.233993590827705
PGS002698_rank,Top 5%,11.958353685497341
PGS002800_rank,Top 10%,6.094161160387764
PGS002800_rank,Top 20%,7.109084315900249
PGS002800_rank,Top 5%,4.887129931479501
PGS002801_rank,Top 10%,11.587944874314617
PGS002801_rank,Top 20%,13.950851117166996
PGS002801_rank,Top 5%,10.405599927061374
PGS002802_rank,Top 10%,18.226003019548134
PGS002802_rank,Top 20%,21.822861136013586
PGS002802_rank,Top 5%,14.414386179098354
PGS002803_rank,Top 10%,10.356623810289477
PGS002803_rank,Top 20%,12.272394580005393
PGS002803_rank,Top 5%,8.3923395903291
PGS002804_rank,Top 10%,18.87270775364577
PGS002804_rank,Top 20%,22.763544412163
PGS002804_rank,Top 5%,14.815891185229034
PGS002805_rank,Top 10%,7.575542712880384
PGS002805_rank,Top 20%,10.349670744376166
PGS002805_rank,Top 5%,6.037810023933564
PGS002964_rank,Top 10%,14.198712519269622
PGS002964_rank,Top 20%,16.99631688649484
PGS002964_rank,Top 5%,12.236225445052852
PGS002965_rank,Top 10%,14.420296466534882
PGS002965_rank,Top 20%,16.615803455987262
PGS002965_rank,Top 5%,11.692323349221988
PGS002966_rank,Top 10%,14.455050150279112
PGS002966_rank,Top 20%,16.351423104151632
PGS002966_rank,Top 5%,11.800526903288201
PGS002967_rank,Top 10%,9.04288055557769
PGS002967_rank,Top 20%,10.396139259483098
PGS002967_rank,Top 5%,7.145900419997074
PGS002968_rank,Top 10%,14.60858728684262
PGS002968_rank,Top 20%,17.255384098876625
PGS002968_rank,Top 5%,12.392637695413264
PGS002969_rank,Top 10%,14.3556269529459
PGS002969_rank,Top 20%,17.284927623534706
PGS002969_rank,Top 5%,12.22391618405706
PGS002970_rank,Top 10%,14.56392498416868
PGS002970_rank,Top 20%,17.191337582603325
PGS002970_rank,Top 5%,11.971964725770565
PGS002971_rank,Top 10%,14.585116226124693
PGS002971_rank,Top 20%,16.970561197155334
PGS002971_rank,Top 5%,11.939691762802061
PGS002972_rank,Top 10%,8.120311405621118
PGS002972_rank,Top 20%,10.084168502139002
PGS002972_rank,Top 5%,6.812595650835347
PGS002973_rank,Top 10%,14.523665120946333
PGS002973_rank,Top 20%,17.489046800193847
PGS002973_rank,Top 5%,12.412857038995156
PGS002974_rank,Top 10%,-3.087356748032194
PGS002974_rank,Top 20%,-4.113785172106907
PGS002974_rank,Top 5%,-1.1116555733092133
PGS002975_rank,Top 10%,-2.8416436963415754
PGS002975_rank,Top 20%,-4.432634133245302
PGS002975_rank,Top 5%,-0.7978229083196362
PGS002976_rank,Top 10%,-2.7869111943775207
PGS002976_rank,Top 20%,-4.455032993311705
PGS002976_rank,Top 5%,-0.6407448886298422
PGS002977_rank,Top 10%,-1.3711809428353587
PGS002977_rank,Top 20%,-1.1835717265059542
PGS002977_rank,Top 5%,-0.8862669343479209
PGS002978_rank,Top 10%,-3.0583913422921647
PGS002978_rank,Top 20%,-4.298132328058465
PGS002978_rank,Top 5%,-1.3799051715130404
PGS002979_rank,Top 10%,12.988450879860391
PGS002979_rank,Top 20%,15.424160290605574
PGS002979_rank,Top 5%,10.199209788892203
PGS002980_rank,Top 10%,12.75039096067263
PGS002980_rank,Top 20%,14.614183956406336
PGS002980_rank,Top 5%,10.421671918200277
PGS002981_rank,Top 10%,12.760209560636847
PGS002981_rank,Top 20%,14.595181644782098
PGS002981_rank,Top 5%,10.534588894965502
PGS002982_rank,Top 10%,4.919829205546305
PGS002982_rank,Top 20%,5.805092755390119
PGS002982_rank,Top 5%,3.4424590754973687
PGS002983_rank,Top 10%,13.422461793888015
PGS002983_rank,Top 20%,16.782261670385726
PGS002983_rank,Top 5%,10.87079935367216
PGS002984_rank,Top 10%,-3.256123526448395
PGS002984_rank,Top 20%,-3.838642934214941
PGS002984_rank,Top 5%,-1.6989586453886685
PGS002985_rank,Top 10%,-3.017603786879556
PGS002985_rank,Top 20%,-4.495154710881249
PGS002985_rank,Top 5%,-0.7780432982388994
PGS002986_rank,Top 10%,-2.897653604037897
PGS002986_rank,Top 20%,-4.53377511555647
PGS002986_rank,Top 5%,-0.7526454869578311
PGS002987_rank,Top 10%,-0.9132196835632821
PGS002987_rank,Top 20%,-1.081443625331134
PGS002987_rank,Top 5%,-0.979708949619374
PGS002988_rank,Top 10%,-3.1203846538196784
PGS002988_rank,Top 20%,-4.181080349773245
PGS002988_rank,Top 5%,-1.1042935994626486
PGS002989_rank,Top 10%,13.041620145311168
PGS002989_rank,Top 20%,15.383865831961849
PGS002989_rank,Top 5%,10.420191406203339
PGS002990_rank,Top 10%,12.210932385866839
PGS002990_rank,Top 20%,14.833044911480748
PGS002990_rank,Top 5%,9.41481942150961
PGS002991_rank,Top 10%,12.18994772755113
PGS002991_rank,Top 20%,14.682493591735112
PGS002991_rank,Top 5%,9.470478790604623
PGS002992_rank,Top 10%,3.379570329901253
PGS002992_rank,Top 20%,4.261273404043637
PGS002992_rank,Top 5%,2.3895054233376336
PGS002993_rank,Top 10%,13.629572961827629
PGS002993_rank,Top 20%,16.668519496109017
PGS002993_rank,Top 5%,10.755739734469834
PGS003514_rank,Top 10%,16.780086250803816
PGS003514_rank,Top 20%,19.286503602916213
PGS003514_rank,Top 5%,13.572592227428226
PGS003835_rank,Top 10%,9.305694217559337
PGS003835_rank,Top 20%,10.665450882075232
PGS003835_rank,Top 5%,7.359474495314063
PGS003836_rank,Top 10%,10.42790904777653
PGS003836_rank,Top 20%,12.685540105673699
PGS003836_rank,Top 5%,8.0900257544551
PGS003837_rank,Top 10%,-1.2274006956499548
PGS003837_rank,Top 20%,-0.1755422485329262
PGS003837_rank,Top 5%,0.19251350839722972
PGS003838_rank,Top 10%,-1.2072259543722368
PGS003838_rank,Top 20%,2.1277428167115926
PGS003838_rank,Top 5%,0.4053109589673694
PGS003839_rank,Top 10%,-1.1284985759631014
PGS003839_rank,Top 20%,-0.13721639905969782
PGS003839_rank,Top 5%,-2.009723996243378
PGS003840_rank,Top 10%,9.748810390505096
PGS003840_rank,Top 20%,11.902641501132747
PGS003840_rank,Top 5%,8.10465460498251
PGS003888_rank,Top 10%,8.042243835733707
PGS003888_rank,Top 20%,10.478934349021209
PGS003888_rank,Top 5%,6.695773628964979
PGS003889_rank,Top 10%,1.6688782653217589
PGS003889_rank,Top 20%,1.6351357618193705
PGS003889_rank,Top 5%,1.3964944977826574
PGS003890_rank,Top 10%,8.274785460164466
PGS003890_rank,Top 20%,10.714986248492972
PGS003890_rank,Top 5%,6.2862840966233655
PGS003891_rank,Top 10%,15.72144380838275
PGS003891_rank,Top 20%,19.283169910989567
PGS003891_rank,Top 5%,12.525061760429137
PGS003895_rank,Top 10%,16.41786893415404
PGS003895_rank,Top 20%,19.51466911414356
PGS003895_rank,Top 5%,13.380611712975082
PGS003995_rank,Top 10%,0.9414967479846813
PGS003995_rank,Top 20%,1.022530317587369
PGS003995_rank,Top 5%,0.58007601271124
PGS004011_rank,Top 10%,-0.23023584538069086
PGS004011_rank,Top 20%,0.09890187193951913
PGS004011_rank,Top 5%,-0.3552960769816895
PGS004036_rank,Top 10%,0.8752549915855216
PGS004036_rank,Top 20%,0.8405444694366562
PGS004036_rank,Top 5%,0.6628926672171345
PGS004065_rank,Top 10%,-0.11710651176315397
PGS004065_rank,Top 20%,0.6737531262950273
PGS004065_rank,Top 5%,-0.4181807117397618
PGS004095_rank,Top 10%,1.0106978116484515
PGS004095_rank,Top 20%,0.9338948076832227
PGS004095_rank,Top 5%,-0.020328223988754657
PGS004119_rank,Top 10%,0.17036570538646767
PGS004119_rank,Top 20%,0.3652556868398578
PGS004119_rank,Top 5%,0.05976726768558591
